procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 3124756  73168 731632    0    0     0    44   89  111  0  0 99  1  0
 0  0      0 3124732  73168 731632    0    0     0     0   82   95  0  0 98  2  0
 0  0      0 3124756  73168 731632    0    0     0     0   93  112  0  0 100  0  0
 0  0      0 3124732  73168 731632    0    0     0     0   91   91  0  0 99  0  0
 0  0      0 3124632  73168 731636    0    0     0    24   86  104  0  0 100  0  0
 0  1      0 3124532  73176 731636    0    0     0    32   70   95  0  0 99  1  0
 0  0      0 3124664  73176 731648    0    0     0     0   89  115  0  0 98  2  0
 0  0      0 3124416  73176 731652    0    0     0     0   78   86  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3124664  73176 731656    0    0     0     0   88  107  0  0 99  0  0
 0  0      0 3124416  73176 731660    0    0     0    20   87   91  0  0 99  0  0
 0  1      0 3124540  73184 731672    0    0     0    40   92  122  0  0 99  1  0
 0  0      0 3124540  73184 731676    0    0     0     0   75   91  0  0 98  2  0
 0  0      0 3124540  73184 731680    0    0     0     0   94  115  0  0 100  0  0
 0  0      0 3124292  73184 731684    0    0     0     0   75   83  1  0 100  0  0
 0  0      0 3124664  73184 731692    0    0     0     0   84  102  0  0 100  0  0
 0  1      0 3124664  73192 731696    0    0     0    56   88   94  0  0 99  1  0
 0  0      0 3124368  73192 731708    0    0     0     0   67   94  0  0 98  2  0
 0  0      0 3124328  73192 731708    0    0     0     0   62   82  1  0 100  0  0
 1  0      0 3124268  73192 731708    0    0     0     0   65  100  0  0 100  0  0
 0  0      0 3124392  73192 731716    0    0     0     0   57   75  0  0 100  0  0
 0  1      0 3124448  73200 731720    0    0     0    36   91  116  0  1 98  1  0
 0  0      0 3124200  73200 731720    0    0     0     0   87   92  0  0 98  1  0
 0  0      0 3124324  73200 731732    0    0     0     0   95  119  0  0 99  0  0
 0  0      0 3124076  73200 731736    0    0     0     0   79   88  0  0 99  0  0
 0  0      0 3124324  73200 731744    0    0     0     0   90  106  0  0 100  0  0
 0  1      0 3124076  73212 731736    0    0     0    56   85   99  0  0 98  1  0
 0  0      0 3124324  73212 731752    0    0     0     0   92  122  1  1 98  2  0
 0  0      0 3124076  73212 731756    0    0     0     0   89   93  0  0 100  0  0
 0  0      0 3124324  73212 731764    0    0     0     0   89  107  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3124200  73212 731768    0    0     0     0   83   84  0  0 99  0  0
 0  1      0 3124324  73220 731772    0    0     0    64   96  122  0  1 98  1  0
 0  0      0 3124284  73220 731776    0    0     0     0   89   93  0  0 98  2  0
 0  0      0 3124572  73220 731780    0    0     0     0   89  107  0  0 100  0  0
 0  0      0 3124456  73220 731788    0    0     0     0   66   86  0  1 100  0  0
 0  0      0 3124480  73220 731792    0    0     0     0   83  104  0  1 99  0  0
 0  1      0 3124348  73228 731784    0    0     0    60   90  101  0  0 98  1  0
 0  0      0 3124728  73228 731708    0    0     0     0   90  113  0  0 98  2  0
 0  0      0 3124480  73228 731708    0    0     0     0   82   84  0  0 99  0  0
 0  0      0 3124728  73228 731712    0    0     0     0   92  114  0  0 99  0  0
 0  0      0 3124480  73228 731712    0    0     0     0   84   89  0  0 100  0  0
 0  1      0 3124604  73236 731712    0    0     0    48   94  114  0  0 98  1  0
 0  0      0 3124232  73236 731712    0    0     0    12   72   89  0  0 98  1  0
 0  0      0 3124480  73236 731712    0    0     0     0   92  113  0  0 100  0  0
 0  0      0 3124324  73236 731712    0    0     0     0   82   84  0  0 100  0  0
 0  0      0 3124480  73236 731720    0    0     0     0   81  106  0  0 99  0  0
 0  1      0 3124356  73244 731716    0    0     0    36   82   98  0  0 98  1  0
 0  0      0 3124604  73244 731728    0    0     0    20   99  119  0  1 97  3  0
 1  0      0 3124604  73244 731732    0    0     0     0   80   86  0  0 99  0  0
 0  0      0 3124388  73244 731744    0    0     0     0   72   97  0  0 100  0  0
 0  0      0 3124388  73244 731748    0    0     0     0   85   94  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 3124512  73252 731752    0    0     0    36   90  110  0  0 98  1  0
 0  0      0 3124512  73252 731756    0    0     0    16  101  116  0  0 98  1  0
 0  0      0 3124512  73252 731764    0    0     0     0   87  101  0  0 100  0  0
 0  0      0 3124512  73252 731712    0    0     0     0   75   94  0  0 99  0  0
 0  0      0 3124512  73252 731712    0    0     0     0   90  100  0  1 100  0  0
 0  1      0 3124528  73256 731712    0    0     0    44   66  108  0  0 98  2  0
 0  0      0 3124024  73256 731712    0    0     0    16   70   92  0  0 98  2  0
 0  0      0 3124156  73256 731716    0    0     0     0   70   95  0  0 100  0  0
 0  0      0 3124148  73256 731716    0    0     0     0   83   99  0  0 99  0  0
 0  0      0 3124348  73256 731716    0    0     0     0   85   94  0  0 99  0  0
 0  1      0 3124528  73264 731712    0    0     0    36   86  104  0  0 98  2  0
 0  0      0 3124240  73264 731728    0    0     0     0   73   99  0  0 98  1  0
 0  0      0 3124560  73264 731732    0    0     0    16   93  108  0  0 99  0  0
 0  0      0 3124348  73264 731668    0    0     0     0   70   89  0  0 99  0  0
 0  0      0 3124436  73264 731668    0    0     0     0   85   92  0  0 100  0  0
 0  1      0 3124340  73272 731664    0    0     0    44   79   97  0  0 98  1  0
 0  0      0 3124188  73272 731676    0    0     0     0   95  108  1  0 98  2  0
 0  0      0 3124248  73272 731680    0    0     0    20   96  101  0  1 100  0  0
 0  0      0 3124312  73272 731692    0    0     0     0   71   91  0  0 99  0  0
 0  0      0 3124312  73272 731696    0    0     0     0   78   94  0  1 99  0  0
 0  1      0 3124312  73276 731700    0    0     0    36   91  115  0  0 98  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
