procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  20124 2114016  75032 828996    0    0     0     0 11382 27884 26 40 34  0  0
 3  0  20124 2109056  75032 828996    0    0     0     0 11216 27696 29 37 34  0  0
 3  0  20124 2104468  75036 829004    0    0     0    24 11824 30153 28 39 33  1  0
 3  0  20124 2099632  75036 829004    0    0     0     0 11795 29302 25 41 34  0  0
 3  0  20124 2094796  75036 829004    0    0     0     0 11237 27254 27 39 34  0  0
 2  0  20124 2089960  75036 829004    0    0     0     0 11677 29479 26 41 33  0  0
 3  0  20124 2085000  75036 829004    0    0     0     0 11642 31326 25 42 33  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  20124 2080288  75036 829004    0    0     0    24 10836 27408 27 39 32  1  0
 2  0  20124 2075576  75036 829004    0    0     0     0 11016 27384 25 41 34  0  0
 2  0  20124 2070616  75036 829004    0    0     0     0 11100 27617 27 39 34  0  0
 1  0  20124 2065904  75036 829004    0    0     0     0 11060 27888 26 40 34  0  0
 2  0  20124 2061068  75036 829004    0    0     0     0 11718 29109 25 41 34  0  0
 1  0  20124 2056604  75036 829004    0    0     0    24 9632 27069 26 34 38  2  0
 3  0  20124 2052760  75036 829004    0    0     0     0 10072 27967 24 37 39  0  0
 3  0  20124 2048048  75036 829004    0    0     0     0 11037 27319 25 40 35  0  0
 3  0  20124 2042964  75036 829004    0    0     0     0 10936 27599 26 40 34  0  0
 3  0  20124 2038376  75036 829004    0    0     0    16 10704 26074 25 41 34  0  0
 2  0  20124 2033788  75040 829004    0    0     0    40 10736 26087 25 41 34  0  0
 2  0  20124 2028952  75040 829004    0    0     0     0 10962 26622 27 39 34  0  0
 2  0  20124 2024024  75040 829008    0    0     0     0 11584 28902 24 42 34  0  0
 2  0  20124 2019188  75040 829008    0    0     0     0 12051 31058 26 40 34  0  0
 3  0  20124 2014352  75040 829008    0    0     0    88 10663 26707 24 42 34  0  0
 3  0  20124 2010012  75044 829008    0    0     0    36 10847 28225 26 38 35  0  0
 3  0  20124 2004836  75044 828976    0    0     0     0 11346 27898 28 38 34  0  0
 3  0  20124 2000124  75044 828976    0    0     0     0 11361 28809 27 39 34  0  0
 1  0  20124 1995412  75044 828976    0    0     0     0 11811 29547 25 41 34  0  0
 2  0  20124 1990824  75044 828976    0    0     0     0 11035 27560 27 37 36  0  0
 3  0  20124 1985864  75044 828976    0    0     0    24 11366 27519 26 40 33  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  20124 1981152  75044 828976    0    0     0     0 11609 29582 22 44 34  0  0
 3  0  20124 1976440  75044 828976    0    0     0     0 11289 28070 28 38 34  0  0
 3  0  20124 1971728  75044 828976    0    0     0     0 11427 28292 25 41 34  0  0
 3  0  20124 1967016  75044 828976    0    0     0     0 11673 29042 28 38 34  0  0
 3  0  20124 1962428  75052 828968    0    0     0    24 11306 28173 24 40 35  1  0
 3  0  20124 1957468  75052 828976    0    0     0     0 11363 28549 26 40 34  0  0
 3  0  20124 1952756  75052 828976    0    0     0     0 11728 28397 26 40 34  0  0
 3  0  20124 1948044  75052 828976    0    0     0     0 11878 29605 26 39 35  0  0
 3  0  20124 1943704  75052 828976    0    0     0     0 10807 26665 25 39 37  0  0
 3  0  20124 1938744  75052 828976    0    0     0    24 11637 29127 26 40 33  1  0
 2  0  20124 1933784  75052 828980    0    0     0     0 11390 27855 26 41 34  0  0
