procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2863600  52660 1074264    0    0     0    12   25   33  0  0 99  1  0
 0  0      0 2863600  52660 1074264    0    0     0     0   12   18  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2863600  52660 1074264    0    0     0     0   15   18  0  0 100  0  0
 0  0      0 2863600  52660 1074264    0    0     0     0   18   26  0  0 100  0  0
 0  0      0 2863440  52660 1074264    0    0     0     0   18   24  0  0 100  0  0
 0  0      0 2863408  52664 1074264    0    0     0    12   24   35  0  0 99  1  0
 0  0      0 2863408  52664 1074264    0    0     0     0   24   30  0  0 100  0  0
 0  0      0 2863408  52664 1074264    0    0     0     0   16   26  0  0 100  0  0
 0  0      0 2863408  52664 1074264    0    0     0     0   16   19  0  0 100  0  0
 0  0      0 2863408  52664 1074264    0    0     0     8   16   22  0  0 100  0  0
 0  0      0 2863408  52664 1074264    0    0     0    12   25   35  0  0 99  1  0
 0  0      0 2863408  52664 1074264    0    0     0     0   15   24  0  0 100  0  0
 0  0      0 2863408  52664 1074264    0    0     0     0   16   18  0  0 100  0  0
 0  0      0 2863408  52664 1074264    0    0     0     0   13   20  0  0 100  0  0
